"","tube_ID","tube_nr","collection_date","April.day","collector_nr","weight_.g.","collection_time","obs","obs_weighing","Drying.time","comments","lab_ID","year","type"
"1","1","","13.04.2023",13,"FRF2","0,00104","12:24","32",32.33,24,"","ND_1301",2023,"insect"
"2","10","","13.04.2023",13,"FRD2","0,00045","12:33","33",32.33,24,"","ND_1310",2023,"insect"
"3","100A","A","28.05.2023",58,"FRC2","1,74321","11:13","Tom&Marie",32,48,"dried 48 h due to personal shortage, 95% FRASS","ND_1403",2023,"insect"
"4","100B","B","28.05.2023",58,"FRC2","1,74321","11:13","Tom&Marie",32,48,"dried 48 h due to personal shortage, 95% FRASS","ND_1404",2023,"insect"
"5","100C","C","28.05.2023",58,"FRC2","1,74321","11:13","Tom&Marie",32,48,"dried 48 h due to personal shortage, 95% FRASS","ND_1405",2023,"insect"
"6","100D","D","28.05.2023",58,"FRC2","1,74321","11:13","Tom&Marie",32,48,"dried 48 h due to personal shortage, 95% FRASS","ND_1406",2023,"insect"
"7","101","","28.05.2023",58,"FRA1","0,01563","13:27","Tom&Marie",32,48,"dried 48 h due to personal shortage, 95% FRASS","ND_1407",2023,"insect"
"8","104","","04.06.2023",65,"FRE1","0,31926","12:21","32",32,24,"","ND_1411",2023,"insect"
"9","105","","04.06.2023",65,"FRA2","0,18982","12:00","33",32,24,"","ND_1412",2023,"insect"
"10","108","","04.06.2023",65,"FRE2","0,07559","11:36","32",32,24,"","ND_1416",2023,"insect"
"11","109","","04.06.2023",65,"FRF2","0,06272","10:11","37",32,24,"","ND_1417",2023,"insect"
"12","11","","13.04.2023",13,"FRC1","0,00043","11:53","33",32.33,24,"","ND_1311",2023,"insect"
"13","110","","04.06.2023",65,"FRF1","0,21984","15:33","37",32,24,"","ND_1418",2023,"insect"
"14","112","","04.06.2023",65,"FRA1","0,0931","10:01","32",32,24,"","ND_1420",2023,"insect"
"15","114","","12.06.2023",73,"FRA1","0,09714","10:45","32,38",33,48,"dried 48 h","ND_1425",2023,"insect"
"16","115","","12.06.2023",73,"FRA2","0,14915","10:55","32,38",33,48,"dried 48 h","ND_1423",2023,"insect"
