"","BroodID","RingNumber","year","Species","Type","Sex","nSamples","AdateSample","timeSample","tube_ID","lab_ID","ClutchNumber","SubplotYear","TreatmentB","TreatmentG","Doublebox","ExpScore","TimeAfterSunrise","Sequence","WithinNestRep"
"1",1813,"CS87493",2023,1,"AM",1,1,56,"16:10","A_01_1","ND_0262",1,"A12023",0,0,0,71,10.7833333333333,1,"1813_AM"
"2",1813,NA,2023,1,"chick2",2,1,60,"10:47","A_01_4A","ND_0547",1,"A12023",0,0,0,NA,NA,NA,"1813_chick2"
"3",1813,NA,2023,1,"chick1",2,4,56,"17:30","A_01_3A","ND_0412",1,"A12023",0,0,0,NA,NA,NA,"1813_chick1"
"4",2344,NA,2024,1,"chick1",2,3,53,"10:07","A_01_3","ND_1164",1,"A12024",1,1,0,NA,NA,NA,"2344_chick1"
"5",1813,NA,2023,1,"chick2",2,1,60,"10:47","A_01_4B","ND_0536",1,"A12023",0,0,0,NA,NA,NA,"1813_chick2"
"6",1815,"C5A0766",2023,1,"AF",0,1,57,"11:22","A_03_2","ND_0355",1,"A12023",0,0,0,48,6,2,"1815_AF"
"7",1815,NA,2023,1,"chick1",2,1,57,"11:42","A_03_3C","ND_0391",1,"A12023",0,0,0,NA,NA,NA,"1815_chick1"
"8",1815,"CS87455",2023,1,"AM",1,1,57,"10:30","A_03_1","ND_0371",1,"A12023",0,0,0,71,5.13333333333333,1,"1815_AM"
"9",1815,NA,2023,1,"chick1",2,1,57,"11:42","A_03_3B","ND_0392",1,"A12023",0,0,0,NA,NA,NA,"1815_chick1"
"10",1815,NA,2023,1,"chick1",2,1,57,"11:42","A_03_3A","ND_0396",1,"A12023",0,0,0,NA,NA,NA,"1815_chick1"
"11",2347,NA,2024,2,"chick1",2,2,36,"09:35","A_04_3","ND_0872",1,"A12024",1,1,0,NA,NA,NA,"2347_chick1"
"12",1816,NA,2023,2,"chick2",2,4,68,"09:01","A_04_4","ND_0800",5,"A12023",0,0,0,NA,NA,NA,"1816_chick2"
"13",2347,"B5G6337",2024,2,"AF",0,1,36,"09:04","A_04_2","ND_0873",1,"A12024",1,1,0,80,3.28333333333333,2,"2347_AF"
