"WithinNestRep","TubeLetter","NestBox","BroodID","RingNumber","Plot","year","Species","Type","Age","Sex","nSamples","dateSample","AdateSample","timeSample","tube_ID","ClutchSize","NumberFledged","SPY","Ha","TreatmentB","TreatmentG","Doublebox","TubeLetterValue","SpecType","Sum.OakNr.","MeanCircumference","MaxCircumference","Subplot","RRA_Noctuidae","RRA_Erebidae","RRA_Geometridae","RRA_Tineidae","RRA_Lasiocampidae","RRA_Gelechiidae","RRA_Ypsolophidae","RRA_Tortricidae","RRA_Lycaenidae","RRA_Lypusidae","RRA_Notodontidae","RRA_Psychidae","RRA_Nolidae","RRA_Glyphipterigidae","RRA_Drepanidae","RRA_Pyralidae","RRA_Eriocraniidae","RRA_Argyresthiidae","RRA_Adelidae","RRA_Coleophoridae","RRA_Hesperiidae","RRA_Crambidae","RRA_Oecophoridae","RRA_Argidae","RRA_Pamphiliidae","RRA_Tenthredinidae","RRA_Chrysomelidae","RRA_Curculionidae","pp1_all","pp1_B","pp1_G","np1_all","np1_B","np1_G","propp1_all","propp1_B","propp1_G","propp2_all","propp2_B","propp2_G"
"1813_AM",NA,"A01",1813,"CS87493","A",2023,"G","AM",NA,0.5,1,"26.05.2023",55,"16:10","A_01_1",7,7,"A12023",6.91,0,0,0,1,"1_AM",0,0,0,"A1",0.132075471698113,0,0.716981132075472,0,0,0,0,0.132075471698113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188679245283019,0.849056603773585,0.849056603773585,0.716981132075472,0.150943396226415,0.150943396226415,0.283018867924528,0.849056603773585,0.849056603773585,0.716981132075472,0.326086956521739,0.326086956521739,0.27536231884058
"1813_chick1","A","A01",1813,NA,"A",2023,"G","chick1",1,2,4,"26.05.2023",55,"17:30","A_01_3A",7,7,"A12023",6.91,0,0,0,1,"1_chick1",0,0,0,"A1",0,0,0.767824497257769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23217550274223,0.767824497257769,0.767824497257769,0.767824497257769,0.23217550274223,0.23217550274223,0.23217550274223,0.76782449725777,0.76782449725777,0.76782449725777,0.135819769321979,0.135819769321979,0.135819769321979
"1813_chick2","A","A01",1813,NA,"A",2023,"G","chick2",1,2,1,"30.05.2023",59,"10:47","A_01_4A",7,7,"A12023",6.91,0,0,0,1,"1_chick2",0,0,0,"A1",0.913795397099907,0.0862046029000932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.913795397099907,0.0862046029000932,0,0.0862046029000932,0.913795397099907,1,0.913795397099907,0.0862046029000932,0.60591649201999,0.553683701434789,0.0522327905852007
"1813_chick2","B","A01",1813,NA,"A",2023,"G","chick2",1,2,1,"30.05.2023",59,"10:47","A_01_4B",7,7,"A12023",6.91,0,0,0,2,"1_chick2",0,0,0,"A1",0,0.578947368421053,0.0350877192982457,0,0,0,0,0,0,0,0,0,0,0,0,0.385964912280702,0,0,0,0,0,0,0,0,0,0,0,0,0.614035087719298,0.0350877192982457,0.614035087719298,0.385964912280702,0.964912280701754,0.385964912280702,0.614035087719298,0.0350877192982457,0.614035087719298,0.0281350482315113,0.00160771704180065,0.0281350482315113
"1815_AF",NA,"A03",1815,"C5A0766","A",2023,"G","AF",6,-0.5,1,"27.05.2023",56,"11:22","A_03_2",10,8,"A12023",6.91,0,0,0,1,"1_AF",0,0,0,"A1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1
"1815_AM",NA,"A03",1815,"CS87455","A",2023,"G","AM",6,0.5,1,"27.05.2023",56,"10:30","A_03_1",10,8,"A12023",6.91,0,0,0,1,"1_AM",0,0,0,"A1",0.0384247448979592,0,0.906887755102041,0,0,0,0,0.0511798469387756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035076530612245,0.9453125,0.9453125,0.906887755102041,0.0546875000000001,0.0546875000000001,0.0931122448979593,0.9453125,0.9453125,0.906887755102041,0.445320715036803,0.445320715036803,0.427219468228932
"1815_chick1","A","A03",1815,NA,"A",2023,"G","chick1",1,2,1,"27.05.2023",56,"11:42","A_03_3A",10,8,"A12023",6.91,0,0,0,1,"1_chick1",0,0,0,"A1",0.656626506024096,0.00602409638554216,0.168674698795181,0.168674698795181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.831325301204819,0.825301204819277,0.174698795180723,0.168674698795181,0.174698795180723,0.825301204819277,0.831325301204819,0.825301204819277,0.174698795180723,0.237521514629948,0.235800344234079,0.0499139414802066
"1815_chick1","B","A03",1815,NA,"A",2023,"G","chick1",1,2,1,"27.05.2023",56,"11:42","A_03_3B",10,8,"A12023",6.91,0,0,0,2,"1_chick1",0,0,0,"A1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0.00619438143430466,0.00619438143430466,0
"1815_chick1","C","A03",1815,NA,"A",2023,"G","chick1",1,2,1,"27.05.2023",56,"11:42","A_03_3C",10,8,"A12023",6.91,0,0,0,3,"1_chick1",0,0,0,"A1",0.989278752436647,0,0.0107212475633528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0107212475633528,0,0,0.989278752436647,1,1,0.0107212475633528,0.171371304493068,0.171371304493068,0.0018373141807249
"1819_AM",NA,"A07",1819,"C5H7303","A",2023,"G","AM",6,0.5,1,"23.05.2023",52,"09:30","A_07_1",8,5,"A12023",6.91,0,0,0,1,"1_AM",0,0,0,"A1",0.0535903410294429,0,0.912942173268375,0,0,0,0,0.0180046600296547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015462825672527,0.966532514297818,0.966532514297818,0.912942173268375,0.0334674857021817,0.0334674857021817,0.0870578267316246,0.966532514297818,0.966532514297818,0.912942173268375,0.183725237558383,0.183725237558383,0.173538411982606
