"RingNumber","ExpScore","Sequence","Sex","TimeAfterSunrise","Species","BroodID","SubplotYear"
"B4P0032",77,3,0.5,7,0,2872,"B22025"
"B4P0032",86,1,0.5,3.45,0,1380,"B22022"
"B4P0032",79,2,0.5,4.06666666666667,0,2500,"B22024"
"B4P0067",65,3,-0.5,4.6,0,2651,"F22024"
"B4P0067",71,2,-0.5,4.95,0,2295,"F22023"
"B4P0067",76,1,-0.5,2.21666666666667,0,1745,"F22022"
"B4P0101",76,3,-0.5,2.48333333333333,0,1421,"B22022"
"B4P0101",82,1,-0.5,7.6,0,426,"B22020"
"B4P0101",87,2,-0.5,2.46666666666667,0,933,"B22021"
"B4P0129",63,2,-0.5,3.16666666666667,0,1519,"C12022"
"B4P0129",53,1,-0.5,5.51666666666667,0,395,"B22020"
"B4P0129",71,3,-0.5,9.91666666666667,0,1913,"B22023"
"B4P0174",81,2,0.5,2.5,0,1595,"D22022"
"B4P0174",77,1,0.5,6.68333333333333,0,1101,"D22021"
"B4P0174",77,3,0.5,3.21666666666667,0,2134,"D22023"
"B4P0182",55,3,0.5,2.45,0,2990,"C12025"
"B4P0182",74,1,0.5,5.06666666666667,0,1490,"C12022"
"B4P0182",53,2,0.5,2.46666666666667,0,2472,"C12024"
"B4P0211",34,1,0.5,3.91666666666667,0,442,"B22020"
"B4P0211",68,2,0.5,5.65,0,948,"B22021"
"B4P0211",60,3,0.5,7.1,0,1424,"B22022"
"B4P0239",107,4,0.5,8.23333333333333,0,2940,"B22025"
"B4P0239",81,2,0.5,2,0,1977,"B22023"
"B4P0239",77,3,0.5,4.75,0,2562,"B22024"
"B4P0239",36,1,0.5,4.55,0,1433,"B22022"
"B4P0242",44,1,0.5,5.05,0,1399,"B22022"
"B4P0276",73,2,0.5,7.6,0,2496,"B22024"
"B4P0276",51,1,0.5,3.2,0,1404,"B22022"
"B4P0285",28,1,0.5,10.3166666666667,0,2146,"E12023"
"B4P0292",51,1,0.5,2.93333333333333,0,895,"B12021"
"B4P0292",49,2,0.5,10.9166666666667,0,1923,"B12023"
"B4P0479",62,2,-0.5,6.46666666666667,0,1836,"A12023"
"B4P0479",40,1,-0.5,5.11666666666667,0,1291,"A12022"
"B4P0517",51,2,0.5,4.76666666666667,0,1997,"C12023"
"B4P0517",21,1,0.5,7.6,0,490,"C12020"
"B4P0528",26,2,0.5,6.01666666666667,0,1000,"C12021"
"B4P0528",25,1,0.5,2.46666666666667,0,492,"C12020"
"B4P0528",25,3,0.5,7.88333333333333,0,2035,"C12023"
"B4P0573",68,1,-0.5,4.7,0,947,"B12021"
"B4P0573",62,2,-0.5,1.9,0,1440,"B22022"
"B4P0573",62,3,-0.5,2.36666666666667,0,1977,"B22023"
"B4P0593",88,3,0.5,5.75,0,2111,"D22023"
"B4P0593",53,2,0.5,2.5,0,1582,"D22022"
"B4P0593",41,1,0.5,6.65,0,1081,"D22021"
"B4P0593",75,4,0.5,3.26666666666667,0,2763,"D22024"
"B4P0595",48,2,-0.5,4.4,0,1716,"F22022"
"B4P0595",64,1,-0.5,4.1,0,1069,"D12021"
"B4P0595",66,3,-0.5,3.56666666666667,0,2278,"F22023"
"B4P0633",73,2,0.5,6.91666666666667,0,1836,"A12023"
"B4P0633",99,1,0.5,5.61666666666667,0,1291,"A12022"
"B4P0648",47,2,-0.5,8.46666666666667,0,1867,"A22023"
"B4P0648",38,1,-0.5,2.31666666666667,0,1360,"A22022"
"B4P0648",67,3,-0.5,3.7,0,2389,"A22024"
"B4P0672",58,1,0.5,3.71666666666667,0,2135,"D22023"
"B4P0672",71,2,0.5,3.06666666666667,0,2780,"D22024"
"B4P0696",44,1,-0.5,2.88333333333333,0,1560,"D12022"
"B4P0696",55,2,-0.5,9.1,0,2746,"D12024"
"B4P0737",61,1,0.5,7.01666666666667,0,941,"B12021"
"B4P0802",36,2,-0.5,6.6,0,2740,"D12024"
"B4P0802",52,1,-0.5,4.36666666666667,0,556,"D12020"
"B4P0825",69,1,-0.5,2.31666666666667,0,681,"F12020"
"B4P0825",50,3,-0.5,7.23333333333333,0,1683,"F12022"
"B4P0825",86,4,-0.5,3.35,0,2222,"F12023"
"B4P0825",92,2,-0.5,3.8,0,1184,"F12021"
"B4P0841",33,1,-0.5,3.73333333333333,0,1627,"E12022"
"B4P0841",62,3,-0.5,3.56666666666667,0,3037,"E12025"
"B4P0841",86,2,-0.5,10.95,0,2150,"E12023"
"B4P0854",25,1,0.5,4.45,0,1200,"F12021"
"B4P0864",30,2,-0.5,5.15,0,2243,"F12023"
"B4P0864",21,1,-0.5,4.88333333333333,0,1220,"F22021"
"B4P0994",56,1,0.5,8.31666666666667,0,986,"C22021"
"B4P0994",78,2,0.5,2.55,0,2024,"C22023"
"B4P1531",48,1,0.5,2.15,0,2807,"B12024"
"B4P1542",40,1,-0.5,5.86666666666667,0,2118,"D22023"
"B4P1638",51,3,-0.5,6.86666666666667,0,2232,"F12023"
"B4P1638",33,1,-0.5,8.8,0,1192,"F12021"
"B4P1638",56,4,-0.5,7.2,0,2581,"F12024"
"B4P1638",33,2,-0.5,7.2,0,1691,"F12022"
"B4P1639",65,4,0.5,5.5,0,2651,"F22024"
"B4P1639",61,1,0.5,2.85,0,1250,"F22021"
"B4P1639",64,3,0.5,4.43333333333333,0,2295,"F22023"
"B4P1639",47,2,0.5,2.26666666666667,0,1739,"F22022"
"B4P1776",47,2,0.5,3.83333333333333,0,2309,"F22023"
"B4P1776",45,1,0.5,3.15,0,1745,"F22022"
"B4P1787",29,1,0.5,2.3,0,1591,"D22022"
"B4P1787",47,2,0.5,7.28333333333333,0,2118,"D22023"
"B4P1981",53,1,-0.5,2.3,0,1946,"B12023"
"B5G6012",55,1,0.5,2.36666666666667,0,1627,"E12022"
"B5G6012",61,3,0.5,2.28333333333333,0,3037,"E12025"
"B5G6012",95,2,0.5,10.1166666666667,0,2150,"E12023"
"B5G6018",58,3,0.5,3.73333333333333,0,2389,"A22024"
"B5G6018",30,1,0.5,2.35,0,1333,"A12022"
"B5G6018",77,2,0.5,9.66666666666667,0,1867,"A22023"
"B5G6026",39,1,-0.5,3.66666666666667,0,1863,"A22023"
"B5G6042",15,1,0.5,3.88333333333333,0,2517,"B12024"
